Argentina,CABA,Buenos Aires,Chaco,Río Negro,Córdoba,Santa Fe,Neuquén,Tierra del Fuego,Mendoza,Corrientes,Entre Ríos,La Rioja,Chubut,Tucumán,Santa Cruz,Misiones,Formosa,Santiago del Estero,Salta,San Luis,Jujuy,San Juan,La Pampa
2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-08,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,10,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-03-10,11,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-03-11,12,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-03-12,15,7,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-03-13,17,8,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-03-14,20,11,7,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-03-15,26,12,9,1,2,2,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2020-03-16,31,13,12,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-03-17,35,15,13,2,4,2,0,2,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0
2020-03-18,45,21,14,2,5,2,0,2,0,0,2,0,0,0,1,0,0,0,1,1,1,0,0
2020-03-19,53,36,16,3,8,3,0,2,0,0,2,0,0,1,1,0,0,0,1,1,1,0,0
2020-03-20,62,45,17,3,13,3,2,3,0,1,3,0,0,1,1,0,0,1,1,1,1,0,0
2020-03-21,91,60,22,4,17,5,2,6,5,3,3,0,0,2,1,0,0,1,1,1,1,0,0
2020-03-22,103,68,29,4,25,5,2,6,5,3,3,0,0,7,1,1,0,1,1,1,1,0,0
2020-03-23,114,73,33,4,28,18,2,6,5,3,3,0,0,7,1,1,0,1,1,1,1,0,0
2020-03-24,144,103,42,4,35,21,3,10,5,3,3,0,0,7,2,1,0,1,1,1,1,0,1
2020-03-25,165,133,54,4,50,43,4,11,6,3,6,0,0,9,7,1,0,1,1,5,1,0,1
2020-03-26,195,160,57,4,53,55,7,14,7,3,6,0,0,9,9,1,0,1,1,6,3,0,1
2020-03-27,238,196,60,7,58,64,11,14,8,5,9,0,0,15,9,2,0,2,1,6,3,0,1
2020-03-28,256,204,65,7,59,77,13,18,9,9,9,0,0,15,9,2,0,2,1,6,3,0,1
2020-03-29,257,217,69,8,73,90,12,21,10,9,10,1,0,15,9,2,0,2,1,6,3,1,3
2020-03-30,291,253,81,8,81,111,20,32,13,19,13,1,0,15,9,2,0,2,1,6,3,1,3
2020-03-31,310,270,84,9,95,133,20,39,15,20,13,1,0,16,9,3,0,2,1,6,3,1,3
2020-04-01,320,280,96,9,101,144,24,39,25,21,14,1,0,17,19,3,0,2,3,7,3,1,3
2020-04-02,344,316,99,9,117,152,28,63,25,22,16,4,0,21,21,3,0,3,3,9,5,1,3
2020-04-03,372,338,107,10,131,160,29,64,27,22,18,4,0,21,21,3,0,3,3,10,5,1,3
2020-04-04,406,364,115,15,134,165,33,72,27,22,18,6,0,22,22,3,0,4,3,10,5,1,3
2020-04-05,438,397,115,17,139,176,44,75,29,22,19,8,0,22,23,3,0,4,3,10,5,1,3
2020-04-06,455,409,119,19,146,184,50,77,30,24,19,9,0,27,23,3,0,10,3,11,5,1,3
2020-04-07,479,443,123,21,150,187,53,79,32,24,20,9,0,28,31,3,0,9,3,11,5,1,3
2020-04-08,497,460,138,22,151,189,70,81,38,24,20,9,0,28,31,3,0,9,3,11,5,1,4
2020-04-09,520,488,144,35,156,196,77,81,40,24,22,14,0,29,31,3,0,9,3,11,5,1,4
2020-04-10,531,507,149,42,169,197,84,83,49,24,22,14,0,29,37,3,0,9,3,11,5,1,5
2020-04-11,577,544,149,65,201,200,85,91,54,24,22,18,0,30,40,3,0,12,3,11,5,2,5
2020-04-12,585,572,150,78,206,203,86,95,57,24,21,19,0,30,40,3,0,12,3,11,5,2,5
2020-04-13,595,601,153,81,210,205,88,99,59,31,21,22,0,30,40,3,0,12,3,11,5,2,5
2020-04-14,617,667,184,94,222,207,90,107,62,32,21,28,0,30,40,3,0,12,3,11,5,2,5
2020-04-15,647,729,191,106,228,209,91,110,63,31,21,31,0,30,40,3,0,12,4,11,5,2,5
2020-04-16,662,759,202,115,241,212,92,117,68,31,22,34,2,30,40,3,0,12,3,11,5,2,5
2020-04-17,676,794,224,116,247,218,93,119,69,31,22,35,1,30,40,4,0,12,3,11,5,2,5
2020-04-18,690,825,248,119,249,221,96,119,69,31,22,35,1,30,40,5,0,12,3,11,5,2,5
2020-04-19,705,873,253,127,260,222,99,122,72,31,22,39,2,30,40,5,0,12,3,11,5,2,5
2020-04-20,727,915,258,137,260,224,102,122,73,34,22,39,2,31,41,5,0,12,3,11,5,2,5
2020-04-21,760,975,263,148,260,225,102,124,73,34,22,40,2,31,41,5,0,12,3,11,5,2,5
2020-04-22,799,1036,270,165,264,230,103,124,74,34,22,45,2,35,41,5,0,12,3,11,5,2,5
2020-04-23,836,1120,280,169,266,236,104,125,75,35,22,45,2,35,41,5,0,12,3,11,5,2,5
2020-04-24,915,1181,287,180,269,239,104,126,75,39,22,47,2,34,42,6,0,12,3,11,5,2,5
2020-04-25,970,1275,294,184,270,242,104,130,75,40,22,50,2,34,42,6,0,13,3,11,5,2,5
2020-04-26,1006,1331,297,185,273,242,105,130,75,46,23,50,2,35,43,6,0,15,4,11,5,2,5
2020-04-27,1038,1381,307,193,273,242,108,131,75,46,23,50,2,35,48,8,0,15,4,11,5,2,5
2020-04-28,1088,1429,307,206,275,243,108,137,76,47,23,51,2,36,48,8,0,15,4,11,5,2,5
2020-04-29,1122,1532,311,214,276,243,109,137,78,47,23,52,2,36,48,12,0,15,4,11,5,2,5
2020-04-30,1167,1598,314,228,278,243,111,139,83,48,23,52,2,38,49,12,0,15,4,11,5,2,5
2020-05-01,1196,1632,326,236,291,243,110,140,84,49,25,55,3,38,49,12,0,15,4,11,5,2,5
2020-05-02,1254,1677,337,242,303,243,110,143,85,49,25,55,4,38,49,24,0,15,4,11,5,2,5
2020-05-03,1303,1715,342,248,304,243,110,145,84,49,27,55,4,38,49,24,0,15,4,11,5,2,5
2020-05-04,1346,1753,347,255,310,243,110,145,84,49,27,56,4,41,49,25,0,15,4,11,5,2,5
2020-05-05,1403,1811,358,259,311,244,110,145,85,48,28,56,4,41,49,25,0,15,4,11,5,2,5
2020-05-06,1505,1874,366,265,316,244,110,145,85,51,28,57,4,41,49,25,0,15,4,11,5,2,5
2020-05-07,1582,1924,392,268,320,244,110,145,85,52,28,58,4,41,49,25,0,15,4,11,5,3,5
2020-05-08,1712,2001,418,270,322,244,110,145,86,53,28,59,4,41,49,25,0,15,4,11,5,3,5
2020-05-09,1795,2061,427,274,328,244,111,146,86,54,28,59,4,41,49,25,0,15,4,11,5,3,5
2020-05-10,1960,2112,459,276,333,244,111,148,86,54,28,59,4,41,49,25,0,16,4,11,5,3,5
2020-05-11,2097,2156,476,289,347,244,111,148,86,70,28,60,4,42,49,26,0,16,4,11,5,3,5
2020-05-12,2285,2236,486,290,350,244,111,148,87,71,28,60,4,42,49,26,0,16,5,11,5,3,5
2020-05-13,2464,2332,504,294,361,244,113,148,88,76,29,60,4,42,49,25,0,16,5,11,5,3,5
2020-05-14,2617,2411,513,298,366,244,114,148,88,79,30,60,4,42,49,25,0,16,5,11,5,3,5
2020-05-15,2832,2497,538,315,369,244,114,148,87,79,29,60,4,42,49,25,0,16,5,11,5,3,5
2020-05-16,3025,2594,559,321,378,245,114,148,87,79,29,60,4,42,49,25,0,16,5,11,5,3,5
2020-05-17,3172,2668,578,323,398,245,114,148,87,79,29,61,4,42,49,25,0,16,5,11,5,3,5
2020-05-18,3341,2761,591,325,418,249,114,148,87,78,29,63,4,42,49,25,0,16,5,11,5,4,5
2020-05-19,3565,2918,625,331,427,249,114,148,89,78,29,63,4,42,49,25,0,22,5,11,5,4,5
2020-05-20,3822,3096,660,333,429,249,114,148,89,78,29,63,4,42,49,25,0,22,5,11,5,4,5
2020-05-21,4201,3309,694,336,441,254,114,148,90,78,29,63,4,43,49,25,0,22,5,11,5,4,5
2020-05-22,4605,3575,721,342,450,258,114,148,90,78,29,63,4,43,49,25,0,22,7,11,5,4,5
2020-05-23,5005,3864,728,347,450,258,114,148,90,78,29,63,4,46,49,25,0,22,7,11,5,4,5
2020-05-24,5499,4060,748,352,456,260,115,148,90,78,29,5,4,45,49,25,0,22,7,11,0,4,5
2020-05-25,5874,4219,757,356,459,259,116,148,90,78,29,63,4,47,49,25,0,22,7,11,5,4,5
2020-05-26,6201,4455,780,360,459,261,123,148,90,78,29,63,5,47,49,25,0,22,7,11,5,4,5
2020-05-27,6563,4770,796,368,459,260,125,149,89,80,29,63,5,47,49,25,0,22,7,11,5,5,5
2020-05-28,6988,5069,824,375,458,260,128,149,89,81,30,63,8,47,49,27,0,22,7,11,6,5,5
2020-05-29,7387,5342,850,387,457,260,130,149,89,87,30,63,8,47,49,27,0,22,7,11,6,5,5
2020-05-30,7847,5638,874,392,456,262,131,149,92,87,31,63,10,48,49,27,0,22,8,11,6,5,5
2020-05-31,8205,5892,887,396,458,262,134,149,63,88,31,5,10,48,50,92,0,22,8,11,0,5,6
2020-06-01,8479,6144,890,407,458,265,137,149,100,94,31,63,10,48,51,28,0,22,11,11,6,5,5
2020-06-02,8850,6632,920,410,459,265,140,149,100,96,33,63,10,48,51,28,0,22,15,11,6,5,5
2020-06-03,9317,7074,926,426,460,268,150,149,100,96,35,63,11,48,51,29,0,22,15,11,6,5,5
2020-06-04,9753,7496,979,434,462,273,150,149,100,96,35,63,11,49,51,31,0,22,15,11,6,5,5
2020-06-05,10173,7868,1008,442,464,274,151,149,101,96,39,63,14,49,51,30,0,22,15,11,6,5,5
2020-06-06,10648,8325,1027,457,464,276,152,149,100,96,49,63,15,49,51,34,0,22,15,11,6,5,5
2020-06-07,11009,8700,1045,467,463,276,152,149,100,96,51,64,20,49,51,36,0,22,16,11,6,5,5
2020-06-08,11429,9044,1090,478,464,276,152,149,101,96,53,64,21,49,51,37,0,22,16,11,6,5,5
2020-06-09,11964,9590,1118,491,466,278,157,149,102,97,55,64,26,49,51,36,0,22,16,11,8,5,5
2020-06-10,12486,10211,1163,503,471,282,167,149,102,97,59,64,26,48,51,36,0,22,19,11,8,6,5
2020-06-11,13025,10968,1211,181,474,284,181,149,103,100,65,64,26,48,51,37,0,22,17,11,8,6,5
2020-06-12,13590,11712,1250,533,483,283,187,149,105,100,69,64,30,49,51,37,1,22,17,11,8,6,5
2020-06-13,14148,12561,1299,546,489,285,200,149,105,101,71,64,39,50,51,37,27,22,19,11,8,7,5
2020-06-14,14706,13196,1326,552,495,285,209,149,112,103,86,64,41,56,51,37,33,22,21,11,8,7,6
2020-06-15,15281,13748,1364,564,497,285,212,149,112,104,88,64,63,56,51,38,33,22,21,11,8,7,6
2020-06-16,15769,14546,1387,581,498,288,240,149,115,105,100,64,64,56,51,38,33,22,20,11,8,7,6
