,Senario A,Senario B,Senario C
2020-07-28,97,89.0,83.0
2020-07-29,92,77.0,68.0
2020-07-30,87,67.0,56.0
2020-07-31,83,58.0,46.0
2020-08-01,79,51.0,37.0
2020-08-02,75,44.0,31.0
2020-08-03,71,38.0,25.0
2020-08-04,67,33.0,20.0
2020-08-05,64,29.0,17.0
2020-08-06,61,25.0,14.0
2020-08-07,58,22.0,11.0
2020-08-08,55,19.0,9.0
2020-08-09,52,16.0,7.0
2020-08-10,49,14.0,6.0
2020-08-11,47,12.0,5.0
2020-08-12,45,11.0,4.0
2020-08-13,42,9.0,3.0
2020-08-14,40,8.0,2.0
2020-08-15,38,7.0,2.0
2020-08-16,36,6.0,1.0
2020-08-17,34,5.0,
2020-08-18,33,4.0,
2020-08-19,31,4.0,
2020-08-20,29,3.0,
2020-08-21,28,3.0,
2020-08-22,26,2.0,
2020-08-23,25,2.0,
2020-08-24,24,2.0,
2020-08-25,23,1.0,
2020-08-26,21,,
2020-08-27,20,,
2020-08-28,19,,
2020-08-29,18,,
2020-08-30,17,,
2020-08-31,17,,
2020-09-01,16,,
2020-09-02,15,,
2020-09-03,14,,
2020-09-04,13,,
2020-09-05,13,,
2020-09-06,12,,
2020-09-07,11,,
2020-09-08,11,,
2020-09-09,10,,
2020-09-10,10,,
2020-09-11,9,,
2020-09-12,9,,
2020-09-13,8,,
2020-09-14,8,,
2020-09-15,7,,
2020-09-16,7,,
2020-09-17,7,,
2020-09-18,6,,
2020-09-19,6,,
2020-09-20,6,,
2020-09-21,5,,
2020-09-22,5,,
2020-09-23,5,,
2020-09-24,4,,
2020-09-25,4,,
2020-09-26,4,,
2020-09-27,4,,
2020-09-28,4,,
2020-09-29,3,,
2020-09-30,3,,
2020-10-01,3,,
2020-10-02,3,,
2020-10-03,3,,
2020-10-04,2,,
2020-10-05,2,,
2020-10-06,2,,
2020-10-07,2,,
2020-10-08,2,,
2020-10-09,2,,
2020-10-10,2,,
2020-10-11,2,,
2020-10-12,1,,
