Date,new case,total case,new death,total death,icu,active,total rec,total test,new test,daily pos rate
3/1/2020,566,1694,5,34,140,1577,83,21127,2466,
3/2/2020,342,2036,18,52,166,1835,149,23345,2218,
3/3/2020,466,2502,27,79,229,2263,160,25856,2511,
3/4/2020,587,3089,28,107,295,2706,276,29837,3981,
3/5/2020,769,3858,41,148,351,3296,414,32362,2525,
3/6/2020,778,4636,49,197,462,3916,523,36359,3997,
3/7/2020,1247,5883,36,233,567,5061,589,42062,5703,
3/8/2020,1492,7375,133,366,650,6387,622,49937,7875,
3/9/2020,1797,9172,97,463,733,7985,724,53826,3889,
3/10/2020,977,10149,168,631,877,8514,1004,60761,6935,
3/11/2020,2313,12462,196,827,1028,10590,1045,73154,12393,
3/12/2020,2651,15113,189,1016,1153,12839,1258,86011,12857,
3/13/2020,2547,17660,250,1266,1328,14955,1439,97488,11477,
3/14/2020,3497,21157,175,1441,1518,17750,1966,109170,11682,
3/15/2020,3590,24747,368,1809,1672,20603,2335,124899,15729,
3/16/2020,3233,27980,349,2158,1851,23073,2749,137962,13063,
3/17/2020,3526,31506,345,2503,2060,26062,2941,148657,10695,
3/18/2020,4207,35713,475,2978,2257,28710,4025,165541,16884,
3/19/2020,5322,41035,427,3405,2498,33190,4440,182777,17236,
3/20/2020,5986,47021,627,4032,2655,37860,5129,206886,24109,
3/21/2020,6557,53578,793,4825,2857,42681,6072,233222,26336,
3/22/2020,5560,59138,650,5475,3009,46638,7024,258402,25180,
3/23/2020,4789,63927,602,6077,3204,50418,7432,275468,17066,
3/24/2020,5249,69176,743,6820,3396,54030,8326,296964,21496,
3/25/2020,5210,74386,683,7503,3489,57521,9362,324445,27481,
3/26/2020,6153,80539,712,8215,3612,62013,10361,361060,36615,
3/27/2020,5959,86498,919,9134,3732,66414,10950,394079,33019,
3/28/2020,5974,92472,889,10023,3856,70065,12384,429526,35447,
3/29/2020,5217,97689,756,10779,3906,73880,13030,454030,24504,
3/30/2020,4050,101739,812,11591,3981,75528,14620,477359,23329,
3/31/2020,4053,105792,837,12428,4023,77635,15729,506968,29609,
4/1/2020,4782,110574,727,13155,4035,80572,16847,541423,34455,
4/2/2020,4668,115242,760,13915,4053,83049,18278,581232,39809,
4/3/2020,4585,119827,766,14681,4068,85388,19758,619849,38617,
4/4/2020,4805,124632,681,15362,3994,88274,20996,657224,37375,
4/5/2020,4316,128948,525,15887,3977,91246,21815,691461,34237,
4/6/2020,3599,132547,636,16523,3898,93187,22837,721732,30271,
4/7/2020,3039,135586,604,17127,3792,94067,24392,755445,33713,
4/8/2020,3836,139422,542,17669,3693,95262,26491,807125,51680,
4/9/2020,4204,143626,610,18279,3605,96877,28470,853369,46244,
4/10/2020,3951,147577,570,18849,3497,98273,30455,906864,53495,
4/11/2020,4694,152271,619,19468,3381,100269,32534,963473,56609,
