Name_1,0
Maharashtra,72237
Tamil Nadu,24583
Delhi,22106
Gujarat,17610
Rajasthan,9356
Madhya Pradesh,8416
Uttar Pradesh,8337
West Bengal,6165
Bihar,4153
Andhra Pradesh,3895
Karnataka,3781
Telengana,2870
Jammu and Kashmir,2714
Haryana,2635
Punjab,2329
Odisha,2243
Assam,1508
Kerala,1372
Uttarakhand,1040
Jharkhand,711
Chhattisgarh,563
Tripura,467
Himachal Pradesh,343
Chandigarh,300
Manipur,88
Puducherry,81
Goa,76
Ladakh,68
Nagaland,45
Andaman and Nicobar Islands,32
Meghalaya,26
Arunachal Pradesh,21
Mizoram,12
Dadar Nagar Haveli,3
Sikkim,0
