Date,NW,BY,BW,NI,HE,RP,BE,HH,SN,SH,BB,SL,TH,ST,MV,HB
PRIOR,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/25/2020,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2/26/2020,4,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
2/27/2020,14,1,4,0,1,0,0,0,0,0,0,0,0,0,0,1
2/28/2020,17,0,6,0,2,0,0,0,0,1,0,0,0,0,0,0
2/29/2020,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1/2020,28,10,1,1,5,1,1,1,0,1,0,0,0,0,0,0
3/2/2020,16,9,5,0,2,0,2,1,0,0,0,0,0,0,0,0
3/3/2020,13,3,17,1,0,0,0,0,1,0,1,0,1,0,0,1
3/4/2020,12,11,28,5,2,5,4,1,0,0,0,1,0,0,4,1
3/5/2020,93,5,10,5,2,0,2,5,0,1,0,0,0,0,0,0
3/6/2020,121,64,21,6,2,3,10,3,1,4,1,1,0,0,1,1
3/7/2020,44,17,74,1,1,3,9,2,2,1,0,1,1,0,0,0
3/8/2020,25,67,12,2,2,6,12,0,3,1,2,1,0,0,3,0
3/9/2020,86,55,22,17,7,-2,8,4,5,2,2,1,0,0,2,0
3/10/2020,164,58,73,28,9,8,10,18,12,-2,10,2,6,8,3,18
3/11/2020,153,52,58,12,13,4,32,19,2,18,8,7,2,7,4,10
3/12/2020,240,134,119,51,51,23,47,34,23,4,2,15,8,12,6,6
3/13/2020,392,58,115,101,49,50,37,11,34,17,18,6,12,15,10,4
3/14/2020,203,123,258,23,55,60,42,59,16,12,17,5,16,3,12,11
3/15/2020,464,205,150,34,79,38,49,38,31,43,23,34,5,9,5,3
3/16/2020,644,181,128,104,60,125,67,64,22,20,10,11,16,23,1,1
3/17/2020,631,285,536,172,31,110,51,52,95,22,20,16,4,28,18,9
3/18/2020,893,446,543,177,174,168,136,102,49,51,57,68,43,28,31,9
3/19/2020,703,484,564,241,193,146,54,92,93,57,33,48,52,41,33,5
3/20/2020,1330,825,917,281,222,141,295,158,173,68,61,38,49,43,34,47
3/21/2020,439,588,153,190,204,172,157,104,88,62,50,46,20,36,15,41
3/22/2020,621,762,482,134,101,87,46,119,81,53,38,17,72,16,5,5
3/23/2020,863,1262,1033,193,85,136,149,102,134,31,32,65,70,34,14,2
3/24/2020,863,643,710,292,268,195,205,248,153,77,58,50,55,74,18,20
3/25/2020,677,927,1209,242,289,157,220,213,110,65,62,33,47,43,26,9
3/26/2020,1184,1553,1189,413,261,236,310,164,147,76,74,74,93,80,20,40
3/27/2020,1166,1338,1288,449,222,228,197,145,230,136,117,74,96,61,44,19
3/28/2020,630,1682,1090,308,384,256,185,176,195,96,51,55,34,33,39,15
3/29/2020,886,1401,717,303,167,188,127,143,116,90,86,57,47,41,8,12
3/30/2020,812,1174,721,240,157,141,117,136,114,46,61,74,28,47,10,7
