Date,Daegu,Gyeongbuk,Gyeonggi,Seoul,Chungnam,Busan,Gyeongnam,Sejong,Ulsan,Incheon,Chungbuk,Gangwon,Daejeon,Gwangju,N. Jeolla,S. Jeolla,Jeju
1/20/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1/21/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/22/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/23/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/24/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1/25/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/26/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/27/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1/28/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/29/2020,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/31/2020,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2/1/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2/2/2020,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2/3/2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2/4/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/5/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2/6/2020,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0
2/7/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/8/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/9/2020,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2/10/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/11/2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/12/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/13/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/14/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/15/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/16/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2/17/2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2/18/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/19/2020,8,5,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0
2/20/2020,21,20,7,2,0,0,2,0,0,0,0,1,0,0,0,0,0
2/21/2020,80,3,1,5,1,0,5,0,0,0,1,0,0,2,2,0,0
2/22/2020,83,117,6,3,0,3,0,1,1,0,2,5,2,3,1,1,1
2/23/2020,117,25,4,1,0,8,10,0,0,0,0,0,1,2,0,0,1
2/24/2020,173,23,11,4,0,15,3,0,1,0,0,0,0,1,0,0,0
2/25/2020,60,56,7,6,1,8,3,0,1,0,2,0,0,0,0,0,0
2/26/2020,167,68,9,8,1,16,11,0,1,1,0,0,2,0,0,0,0
2/27/2020,421,28,11,7,9,3,9,0,7,0,3,0,4,0,2,0,0
2/28/2020,447,61,15,6,23,4,6,0,3,1,1,1,5,0,0,0,0
2/29/2020,657,79,10,15,20,15,10,0,3,2,1,0,-1,0,0,2,0
3/1/2020,469,71,2,10,13,3,4,0,3,0,1,8,0,0,1,0,0
3/2/2020,377,68,3,4,10,5,1,0,0,1,0,4,1,0,0,2,0
3/3/2020,519,61,2,7,3,2,0,0,0,0,1,1,0,2,1,0,1
3/4/2020,405,89,7,1,1,3,1,0,3,2,0,1,1,2,0,0,0
3/5/2020,320,87,9,4,4,-1,9,0,0,0,1,2,1,1,0,0,1
3/6/2020,367,123,10,2,4,3,3,0,0,0,3,2,2,-1,0,0,0
3/7/2020,392,65,10,3,2,1,5,1,0,0,4,1,0,0,0,-1,0
3/8/2020,297,32,11,12,6,1,1,1,1,0,4,1,0,0,0,0,0
3/9/2020,190,26,11,10,4,0,0,3,0,0,1,1,1,2,0,0,0
3/10/2020,92,10,11,11,2,0,0,2,0,4,0,0,-1,0,0,0,0
3/11/2020,131,18,12,52,8,2,1,2,1,12,2,1,0,0,0,0,0
3/12/2020,73,8,3,19,2,0,1,5,0,0,0,0,2,0,0,0,0
3/13/2020,61,4,7,13,1,1,0,17,2,2,0,0,2,0,0,0,0
3/14/2020,62,6,15,13,1,3,0,6,0,1,0,0,0,0,0,0,0
3/15/2020,41,4,11,9,0,3,0,1,1,2,3,0,0,1,0,0,0
3/16/2020,39,7,20,6,0,1,0,1,0,0,0,0,0,0,0,0,0
3/17/2020,32,5,31,14,0,0,1,0,0,1,0,0,0,0,0,0,0
3/18/2020,46,9,15,10,3,0,0,1,2,1,1,1,0,1,2,1,0
3/19/2020,102,12,18,12,0,0,0,0,6,0,1,0,0,0,1,0,0
3/20/2020,34,14,14,17,1,1,1,0,0,4,0,0,0,1,0,0,0
