Date,MD,CT,PV,CM,AN,CL,VC,GA,NA,RI,AR,AS,EX,CN,MC,IB,CB,ML,CE
PRIOR,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
"Feb 25, 2020",1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"Feb 26, 2020",1,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"Feb 27, 2020",0,0,0,0,5,0,7,0,0,0,0,0,0,1,0,1,0,0,0
"Feb 28, 2020",3,1,3,0,4,1,0,0,1,0,0,1,0,0,0,0,1,0,0
"Feb 29, 2020",5,3,2,1,2,1,5,0,0,0,0,0,4,0,0,0,0,0,0
"Mar 1, 2020",5,6,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
"Mar 2, 2020",14,5,1,2,0,5,0,0,1,1,0,0,2,0,0,0,9,0,0
"Mar 3, 2020",27,1,3,4,1,0,4,0,0,1,0,2,0,1,0,1,0,0,0
"Mar 4, 2020",20,10,8,5,0,3,3,1,1,5,1,1,0,0,0,2,0,0,0
"Mar 5, 2020",14,4,7,1,3,2,10,1,0,10,0,1,0,4,0,1,0,0,0
"Mar 6, 2020",47,5,17,2,5,1,0,1,0,21,8,2,0,4,0,0,1,0,0
"Mar 7, 2020",38,12,25,0,13,7,5,1,0,9,2,0,0,1,0,2,1,0,0
"Mar 8, 2020",27,29,32,6,5,9,5,2,3,23,10,1,0,4,1,0,0,0,0
"Mar 9, 2020",376,23,46,5,15,10,8,12,7,32,11,2,1,3,4,3,0,0,0
"Mar 10, 2020",204,24,49,13,29,17,15,9,17,53,7,17,1,1,6,2,0,0,0
"Mar 11, 2020",247,76,64,32,19,14,11,17,31,30,10,12,2,8,6,3,0,0,0
"Mar 12, 2020",359,115,85,44,36,21,24,20,31,35,15,10,15,18,12,5,4,0,0
"Mar 13, 2020",1271,193,71,79,131,77,48,48,30,23,16,24,17,19,3,9,13,3,0
"Mar 14, 2020",281,206,104,95,107,54,40,23,61,49,41,34,30,20,19,14,9,3,0
"Mar 15, 2020",604,188,109,112,0,69,215,0,13,8,26,35,23,0,20,11,3,0,1
"Mar 16, 2020",621,491,97,166,178,42,87,110,78,12,27,47,33,29,29,18,17,11,0
"Mar 17, 2020",706,472,38,95,129,97,51,140,76,43,33,4,25,29,3,19,0,3,0
"Mar 18, 2020",766,210,208,139,176,237,185,-44,36,64,19,49,41,33,42,20,10,0,0
"Mar 19, 2020",1139,626,217,0,149,200,195,112,96,49,55,50,47,39,23,57,15,3,0
"Mar 20, 2020",389,568,275,622,279,279,184,125,72,29,79,52,56,67,47,34,61,1,4
