,onset,C_IR,D_IR,R_IR,C_SK,D_SK,R_SK,C_IT,D_IT,R_IT,C_CN,D_CN,R_CN
1/11/2020,1,,,,,,,,,,41,1,2
1/12/2020,2,,,,,,,,,,41,1,6
1/13/2020,3,,,,,,,,,,41,1,7
1/14/2020,4,,,,,,,,,,41,1,7
1/15/2020,5,,,,,,,,,,41,1,7
1/16/2020,6,,,,,,,,,,41,2,12
1/17/2020,7,,,,,,,,,,45,2,15
1/18/2020,8,,,,,,,,,,62,2,19
1/19/2020,9,,,,,,,,,,121,3,24
1/20/2020,10,,,,,,,,,,198,3,25
1/21/2020,11,,,,,,,,,,291,6,26
1/22/2020,12,,,,,,,,,,440,9,28
1/23/2020,13,,,,,,,,,,571,17,31
1/24/2020,14,,,,,,,,,,830,25,34
1/25/2020,15,,,,,,,,,,1287,41,38
1/26/2020,16,,,,,,,,,,1975,56,49
1/27/2020,17,,,,,,,,,,2744,80,51
1/28/2020,18,,,,,,,,,,4515,106,60
1/29/2020,19,,,,,,,,,,5974,132,103
1/30/2020,20,,,,,,,,,,7711,170,124
1/31/2020,21,,,,,,,,,,9692,213,171
2/1/2020,22,,,,,,,,,,11791,259,243
2/2/2020,23,,,,,,,,,,14380,304,328
2/3/2020,24,,,,,,,,,,17205,361,475
2/4/2020,25,,,,,,,,,,20438,425,632
2/5/2020,26,,,,,,,,,,24324,490,892
2/6/2020,27,,,,,,,,,,28018,563,1153
2/7/2020,28,,,,,,,,,,31161,636,1540
2/8/2020,29,,,,,,,,,,34546,722,2050
2/9/2020,30,,,,,,,,,,37198,811,2649
2/10/2020,31,,,,,,,,,,40171,908,3281
2/11/2020,32,,,,,,,,,,42638,1016,3996
2/12/2020,33,,,,,,,,,,44653,1113,4740
2/13/2020,34,,,,,,,,,,59804,1259,5911
2/14/2020,35,,,,,,,,,,63851,1380,6723
2/15/2020,36,,,,,,,,,,66492,1523,8096
2/16/2020,37,,,,,,,,,,68500,1665,9419
2/17/2020,38,0,0,0,0,1,0,0,0,0,70548,1770,10844
2/18/2020,39,0,0,0,31,0,1,3,0,0,72436,1868,12552
2/19/2020,40,2,2,0,51,0,20,3,0,0,74185,2004,14376
2/20/2020,41,5,2,0,104,1,53,3,0,0,75002,2118,16157
2/21/2020,42,18,4,0,204,1,100,20,1,0,75891,2236,18266
2/22/2020,43,28,6,0,433,2,229,62,2,1,76288,2345,20659
2/23/2020,44,43,8,0,602,5,169,155,3,1,76936,2442,22888
2/24/2020,45,61,12,0,833,7,231,229,7,1,77150,2592,23734
2/25/2020,46,95,15,0,977,10,144,322,10,1,77658,2663,27323
2/26/2020,47,139,18,49,1261,12,284,453,12,3,78064,2715,29745
2/27/2020,48,245,25,49,1766,12,505,655,17,45,78497,2744,32495
2/28/2020,49,388,33,73,2337,16,571,888,21,46,78824,2788,36117
2/29/2020,50,593,42,123,3150,16,813,1128,29,46,79251,2835,39002
3/1/2020,51,978,53,175,3736,20,586,1694,34,83,79824,2870,41625
3/2/2020,52,1501,65,291,4335,27,599,2036,52,149,80026,2912,44462
3/3/2020,53,2336,76,435,5186,33,851,2502,79,160,80151,2943,47204
3/4/2020,54,2922,91,552,5621,37,435,3089,107,276,80270,2981,49856
3/5/2020,55,3513,107,739,6088,44,467,3858,148,414,80409,3012,52045
3/6/2020,56,4747,124,1139,6397,46,309,4636,197,523,80552,3042,53726
3/7/2020,57,5823,145,1669,6845,48,448,4636,197,523,80651,3070,55404
