,Compared to last week,Yesterday,Abb,Sum
New York,0.6509215394723192,2138.0,NY,340655.0
New Jersey,0.6657630181859256,1447.0,NJ,138531.0
Massachusetts,0.7381549927751161,1050.0,MA,77791.0
Illinois,0.918561036599227,1654.0,IL,77658.0
California,1.1404094543537475,1227.0,CA,68006.0
Pennsylvania,0.8493062966915688,1376.0,PA,60035.0
Michigan,0.5647451963241437,381.0,MI,47114.0
Florida,0.992967032967033,595.0,FL,40585.0
Texas,1.0913963328631875,1188.0,TX,40026.0
Connecticut,1.0619711299153807,570.0,CT,33553.0
Maryland,1.0217765042979943,1055.0,MD,32690.0
Georgia,0.901143632486916,786.0,GA,32265.0
Louisiana,0.880405142189326,183.0,LA,31599.0
Indiana,0.8308277830637488,394.0,IN,24632.0
Ohio,1.0559352062768919,389.0,OH,24083.0
Virginia,0.9487898982813049,885.0,VA,24080.0
Colorado,0.9938451571104632,328.0,CO,19593.0
Washington,0.97856477166822,146.0,WA,17877.0
Tennessee,0.6178436501017146,385.0,TN,15059.0
North Carolina,1.0976039464411558,396.0,NC,14782.0
Iowa,0.7583582495243273,288.0,IA,11956.0
Rhode Island,0.881746810598626,285.0,RI,11272.0
Minnesota,1.505390395295655,481.0,MN,11270.0
Arizona,1.172658467360454,159.0,AZ,11117.0
Wisconsin,1.098392596200682,280.0,WI,10218.0
Missouri,0.9965682910089224,169.0,MO,9905.0
Alabama,1.3640081799591,221.0,AL,9883.0
Mississippi,1.190359975594875,123.0,MS,9500.0
Nebraska,1.0324218749999998,95.0,NE,8316.0
South Carolina,0.904049295774648,122.0,SC,7651.0
Kansas,0.9434343434343434,122.0,KS,7044.0
Kentucky,1.0992167101827677,17.0,KY,6485.0
Delaware,1.055366269165247,170.0,DE,6446.0
District of Columbia,1.0689361702127658,170.0,DC,6271.0
Utah,1.022813688212928,148.0,UT,6250.0
Nevada,0.7601862630966241,74.0,NV,6148.0
New Mexico,0.9028520499108735,85.0,NM,4859.0
Oklahoma,0.8581363004172462,99.0,OK,4588.0
Arkansas,1.3511627906976744,265.0,AR,4011.0
South Dakota,2.1270983213429258,124.0,SD,3512.0
Oregon,1.4850948509485096,68.0,OR,3226.0
New Hampshire,0.845565749235474,60.0,NH,3069.0
Idaho,1.0679012345679013,2.0,ID,2231.0
Puerto Rico,0.9011494252873563,25.0,PR,2195.0
North Dakota,0.9259259259259259,27.0,ND,1490.0
Maine,1.476470588235294,28.0,ME,1435.0
West Virginia,1.176056338028169,15.0,WV,1361.0
Guam,0.01652892561983471,0.0,GU,1117.0
Vermont,0.6521739130434783,6.0,VT,926.0
Wyoming,0.9047619047619048,9.0,WY,661.0
Hawaii,0.8333333333333334,1.0,HI,620.0
Montana,0.6666666666666666,0.0,MT,454.0
Alaska,0.4444444444444444,1.0,AK,377.0
